Variety,RWC 0.0,co2fix 0.0,cond 0.0,intco2 0.0,RWC .05,co2fix 0.5,cond 0.5,intc02 .05,RWC .1,co2fix .1,cond .1,intco2 .1,RWC .15,co2fix .15,cond .15,intco2 .15,RWC .2,co2fix .2,cond .2,intco2 .2,RWC .25,co2fix .25,cond .25,intco2 .25
E36-1,96.8,2.72,59.5,337.1,97.4,6.13,79.3,280.6,95.7,4.61,48.9,249.3,89.1,5.83,51.2,185,85.7,3.73,27,152.3,87,1.89,16.6,292.3
E36-1,96.2,2.92,89.8,341.3,97.8,7.52,74.6,224.9,94.2,5.3,54.7,217.6,90.6,7.16,83.3,213.6,94.3,5.85,48.3,202,65.6,3.21,42.5,272.3
E36-1,95.8,3.4,71,354.7,97.4,7.06,63.6,260.1,94.2,4.32,34.7,225.7,91.2,6.23,55.6,251.8,64.6,3.19,32.1,224.1,70.7,6.47,50.5,194.1
ICSV 745,94.8,8.03,73.2,194.1,92.7,5.61,58.9,193.4,98.9,7.84,62.5,152.9,95.4,7.97,86.1,212.8,95.4,5.64,60.3,204.3,46.9,5.82,36.1,183.1
ICSV 745,96.1,7.09,78.3,241.5,98.2,7.56,85.8,190.3,95.5,8.77,72,155.4,96.9,6.93,82.3,234.8,95,5.96,64.1,287.1,94.9,2.27,28.4,262.2
ICSV 745,92.9,6.08,86.1,211.9,96.8,6.39,69.9,177.3,97,8.06,75.8,175.6,91.8,4.59,68.1,260.6,92.2,5.56,45.6,211.8,64.8,1.4,21,302.6
IS 9830,93.8,5.84,61.07,217.5,96.7,8.78,78.4,199.5,91.3,3.51,37.1,244.9,88.6,7.32,54.4,167.1,94.1,5.17,42.9,187.9,78.9,3.12,31.1,179.2
IS 9830,95,6.02,63.1,210.2,94.8,6.73,73.5,217.6,86.4,7.67,62.8,156.6,92.1,8.43,73,207.1,86.7,7.36,65,164.9,63.3,2.47,36.8,226.1
IS 9830,97.6,5.21,62.56,212.8,94.2,6.24,77.9,251.1,92.5,7.99,72.4,169.5,94.4,7.05,64.9,209.6,96.8,7.63,53.5,111.7,86.8,3.89,26.4,122.9
IS 18551,99.2,1.55,45.7,342.2,98.9,8.85,123,227.4,97.4,7.5,93.6,302.5,93.8,7.62,55,150.6,94.4,4.44,56.6,268.4,87,5.59,50,214.1
IS 18551,96.5,1.78,43.5,326,96.4,9.88,146.8,275.7,95.5,4.99,65.3,265.3,87.2,6.39,59.1,226.2,91.2,3.43,45.9,243.8,86,4.92,48.1,219.3
IS 18551,98,1.92,48,330.8,97.2,10.17,127.7,211.5,95.9,9.18,97.1,236.4,93.6,4.22,50.3,231.3,89.9,7.46,58.8,231.3,85.9,3.41,43.3,235.9
IS22380,94.3,3.9,51.3,274.2,95.7,6.94,54.1,216.3,97.8,7.06,52.7,198.4,97.7,4.85,47.8,210,93.6,3.55,36.4,216.8,93,4.05,38.4,239.1
IS22380,96.9,5.52,53.8,223.9,97.2,6.9,56,221.5,95.6,6.02,59.7,203.9,96.3,4.1,41.1,225.1,98.2,4.02,49.1,241.2,85.8,1.59,19.3,242.1
IS22380,98,4.58,50.9,255.6,97.7,6.87,56.3,211.9,97.2,5.6,51,195,95.6,4.32,47.8,219.9,92.2,5.9,50.4,258.5,76.9,1.38,24.5,267.7
M35-1,96.8,3.42,48.7,253.2,97.7,7.18,72.6,210.3,97.5,8.05,61.1,180.9,92.8,2.63,32.8,258.6,83.3,4.76,37.8,184.7,73.9,2.74,28.8,230.2
M35-1,94.2,4.12,53.3,205.7,99.5,8.57,87.9,241.5,95.7,6.51,60.8,193.1,94.3,7.49,65.1,190.6,73.5,5.53,42,148.4,69,4.83,33.3,159.3
M35-1,96,5.17,50.2,218.6,99.5,6.74,72,226.8,91,6.76,48.5,182.6,90.2,6.63,59.2,193.2,93.1,5.15,39.9,166.55,79.7,4.3,51,229.5
N13,100,7.07,62.3,252.9,91.4,8.06,95.8,272.8,88.3,6.35,64.6,208.1,94.6,5.42,69.6,277.8,87.2,5.5,32.8,143.3,63.5,1.99,33.1,366.4
N13,96.1,7.18,87.4,249.6,97,8.85,55.4,131.5,89.6,8.9,73.6,178.5,95.1,5.29,74.8,257.8,73.3,1.82,37.9,307.7,57.7,1.51,18.8,295
N13,99,6.68,63,252.9,94,5.94,55.3,187.2,94.3,6.86,72.5,213.2,92.3,5.98,55.7,171.2,71.9,3.64,45.1,246.9,66.1,1.24,14.6,332.6
PB1588-3,95.6,8.53,125.5,348.9,96.2,6.92,71.6,387.3,98.1,6.65,67.3,270.5,96.4,5.29,53.6,260.8,95.3,7.11,98.9,314.9,94.8,4.79,60.4,308.1
PB1588-3,97.4,6.92,75.6,353.6,94.8,8.99,82.6,353.7,97.3,7.73,87.1,227.6,95.6,5.99,61,265.7,96.2,6.23,67.1,262.5,94.9,5.3,66.2,396.4
PB1588-3,97.6,7.76,128.5,367.7,96.7,7.19,79.7,360.9,95.1,8.64,88,277.1,94,7.91,58.9,235.6,94,7.38,75.1,293.5,92.3,3.58,41.5,281.3
R 16,97.6,8.36,117.5,221.2,97.1,6.1,89.9,225.3,95.1,8.34,71.1,239.7,96.2,9.27,84.6,176.6,91.7,6.4,51.6,252.9,94.1,3.75,50.2,276.7
R 16,100,6.42,99.1,225.9,96.7,10.6,92.2,234.8,94.9,7.56,61.7,215.9,80.5,2.66,32.8,264.9,90.4,3.79,30,321,72.4,2.58,31.7,306.1
R 16,96.3,6.97,126.2,260.2,96.3,7.8,108.7,315.6,94.7,8.75,64.8,192.2,88.35,5.965,58.7,220.75,89,3.97,44.5,397.5,87.3,6.25,49.7,252.4
Tx7078,99.4,4.34,73.5,368.5,98.8,4.21,82.7,370.8,99.4,7.98,92.2,235.3,97,6.27,84.4,235.9,96.9,6.37,70.6,257.6,75,3.77,49.8,264.2
Tx7078,98.7,4.33,69.3,328.4,98.7,7.44,105.6,311.6,98.3,7.06,101.8,272.3,96,7.33,75.6,215.4,94.6,0.99,49.4,405.7,57.7,1.88,45.8,436.3
Tx7078,97.4,3.2,64.6,380.7,97.9,6.56,86,343.2,96.7,5.12,69.1,292,89.3,4.33,77.5,309.9,59.2,8.32,78.6,276.3,90.1,5.87,57,319.3
