id,Pclass,Sex,Age,Age_wiki,Class,SibSp,Parch,Fare,Cabin,Embarked,Hometown,Boarded,Destination,Lifeboat,WikiId,Survived
1,3,male,22.0,22.0,3.0,1,0,7.25,,S,"Bridgerule, Devon, England",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,691.0,0.0
2,1,female,38.0,35.0,1.0,1,0,71.2833,C85,C,"New York, New York, US",Cherbourg,"New York, New York, US",4,90.0,1.0
3,3,female,26.0,26.0,3.0,0,0,7.925,,S,"Jyväskylä, Finland",Southampton,New York City,14?,865.0,1.0
4,1,female,35.0,35.0,1.0,1,0,53.1,C123,S,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",D,127.0,1.0
5,3,male,35.0,35.0,3.0,0,0,8.05,,S,"Birmingham, West Midlands, England",Southampton,New York City,,627.0,0.0
6,3,male,,22.0,3.0,0,0,8.4583,,Q,"Cork, Ireland",Queenstown,New York City,,785.0,0.0
7,1,male,54.0,54.0,1.0,0,0,51.8625,E46,S,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US",,200.0,0.0
8,3,male,2.0,2.0,3.0,3,1,21.075,,S,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US",,1108.0,0.0
9,3,female,27.0,26.0,3.0,0,2,11.1333,,S,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US",15,902.0,1.0
10,2,female,14.0,14.0,2.0,1,0,30.0708,,C,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,"Cleveland, Ohio, US",?,520.0,1.0
11,3,female,4.0,4.0,3.0,1,1,16.7,G6,S,"Motala, Östergötland, Sweden",Southampton,"San Francisco, US",13,1193.0,1.0
12,1,female,58.0,61.0,1.0,0,0,26.55,C103,S,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US",8,35.0,1.0
13,3,male,20.0,19.0,3.0,0,0,8.05,,S,"St Austell, Cornwall, England",Southampton,New York City,,1196.0,0.0
14,3,male,39.0,39.0,3.0,1,5,31.275,,S,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada",,632.0,0.0
15,3,female,14.0,14.0,3.0,0,0,7.8542,,S,"Salmunds, Gotland, Sweden",Southampton,"Los Angeles, US",,1286.0,0.0
16,2,female,55.0,56.0,2.0,0,0,16.0,,S,"Lucknow, British India, UK[note 3]",Southampton,"Rapid City, South Dakota, US",13,446.0,1.0
17,3,male,2.0,2.0,3.0,4,1,29.125,,Q,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US",,1151.0,0.0
18,2,male,,23.0,2.0,0,0,13.0,,S,"Harrow, London, England",Southampton,"Chicago, Illinois, US",14,604.0,1.0
19,3,female,31.0,31.0,3.0,1,0,18.0,,S,"Pittem, Belgium",Southampton,"Fremont, Ohio, US",,1280.0,0.0
20,3,female,,22.0,3.0,0,0,7.225,,C,"Tebnine, Lebanon",Cherbourg,"Michigan City, Indiana, US",C,1053.0,1.0
21,2,male,35.0,35.0,2.0,0,0,26.0,,S,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada",,416.0,0.0
22,2,male,34.0,34.0,2.0,0,0,13.0,D56,S,"London, England, UK",Southampton,"Toronto, Ontario, Canada",13,346.0,1.0
23,3,female,15.0,16.0,3.0,0,0,8.0292,,Q,"Massbrook, Mayo, Ireland",Queenstown,"Chicago, Illinois, US",13,1014.0,1.0
24,1,male,28.0,28.0,1.0,0,0,35.5,A6,S,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US",7,261.0,1.0
25,3,female,8.0,8.0,3.0,3,1,21.075,,S,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US",,1105.0,0.0
26,3,female,38.0,38.0,3.0,1,5,31.3875,,S,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US",15,649.0,1.0
27,3,male,,25.0,3.0,0,0,7.225,,C,"Hadath, Lebanon",Cherbourg,New York City,,1205.0,0.0
28,1,male,19.0,19.0,1.0,3,2,263.0,C23 C25 C27,S,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",,118.0,0.0
29,3,female,,25.0,3.0,0,0,7.8792,,Q,"Limerick, Limerick, Ireland",Queenstown,New York City,?,1086.0,1.0
30,3,male,,23.0,3.0,0,0,7.8958,,S,"Unknown, Bulgaria",Southampton,"Chicago, Illinois, US",,1258.0,0.0
31,1,male,40.0,40.0,1.0,0,0,27.7208,,C,"Mexico City, Mexico",Cherbourg,"Mexico City, Mexico",,302.0,0.0
32,1,female,,45.0,1.0,1,0,146.5208,B78,C,"New York, New York, US",Cherbourg,"New York, New York, US",6,275.0,1.0
33,3,female,,19.0,3.0,0,0,7.75,,Q,"Killaloe, Clare, Ireland",Queenstown,"Washington, DC, US",13,826.0,1.0
34,2,male,66.0,66.0,2.0,0,0,10.5,,S,"Guernsey, Channel Islands",Southampton,"Edgewood, Rhode Island, US",,600.0,0.0
35,1,male,28.0,28.0,1.0,1,0,82.1708,,C,"New York, New York, US",Cherbourg,"New York, New York, US",,202.0,0.0
36,1,male,42.0,42.0,1.0,1,0,52.0,,S,"New York, New York, US",Southampton,"New York, New York, US",,163.0,0.0
37,3,male,,20.0,3.0,0,0,7.2292,,C,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US",15,998.0,1.0
38,3,male,21.0,21.0,3.0,0,0,8.05,,S,"Penwithick, Cornwall, England",Southampton,New York City,,712.0,0.0
39,3,female,18.0,18.0,3.0,2,0,18.0,,S,"Zwevezele, Belgium",Southampton,"Fremont, Ohio, US",,1281.0,0.0
40,3,female,14.0,14.0,3.0,1,0,11.2417,,C,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US",C,1071.0,1.0
41,3,female,40.0,40.0,3.0,1,0,9.475,,S,"Göteborg, Västergötland, Sweden",Southampton,"Akeley, Minnesota, US",,619.0,0.0
42,2,female,27.0,27.0,2.0,1,0,21.0,,S,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",,581.0,0.0
43,3,male,,,3.0,0,0,7.8958,,C,"Vetren, Bulgaria",Cherbourg,"Madison, Wisconsin, US",,946.0,0.0
44,2,female,3.0,3.0,2.0,1,2,41.5792,,C,"Paris, France",Cherbourg,"Cap-Haïtien, Haiti",14,487.0,1.0
45,3,female,19.0,19.0,3.0,0,0,7.8792,,Q,"Kilmacowen, Sligo, Ireland",Queenstown,New York City,C,778.0,1.0
46,3,male,,29.0,3.0,0,0,8.05,,S,"Pontardawe, West Glamorgan, Wales",Southampton,New York City,,1159.0,0.0
47,3,male,,20.0,3.0,1,0,15.5,,Q,"Ballymahon, Longford, Ireland",Queenstown,New York City,,968.0,0.0
48,3,female,,24.0,3.0,0,0,7.75,,Q,"Ballydehob, Cork, Ireland",Queenstown,"Jersey City, New Jersey, US",D,1085.0,1.0
49,3,male,,16.0,3.0,2,0,21.6792,,C,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US",,1191.0,0.0
50,3,female,18.0,18.0,3.0,1,0,17.8,,S,"Altdorf, Uri, Switzerland",Southampton,"New Glarus, Wisconsin, US",,645.0,0.0
51,3,male,7.0,7.0,3.0,4,1,39.6875,,S,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US",,1112.0,0.0
52,3,male,21.0,21.0,3.0,0,0,7.8,,S,"Newton Abbot, Devon, England",Southampton,"Buffalo, New York, US",,1076.0,0.0
53,1,female,49.0,49.0,1.0,1,0,76.7292,D33,C,"New York, New York, US",Cherbourg,"New York, New York, US",3,148.0,1.0
54,2,female,29.0,29.0,2.0,1,0,26.0,,S,"Manchester, England",Southampton,"Philadelphia, Pennsylvania, US",16,603.0,1.0
55,1,male,65.0,64.0,1.0,0,1,61.9792,B30,C,"Providence, Rhode Island, US",Southampton,"Providence, Rhode Island, US",,220.0,0.0
56,1,male,,45.0,1.0,0,0,35.5,C52,S,"London, England, UK",Southampton,"New York, New York, US",D,324.0,1.0
57,2,female,21.0,21.0,2.0,0,0,10.5,,S,"Guernsey, Channel Islands",Southampton,"Wilmington, Delaware, US",12,559.0,1.0
58,3,male,28.5,20.0,3.0,0,0,7.2292,,C,"Kafr Mishki, Lebanon",Cherbourg,"Ottawa, Ontario, Canada",,1075.0,0.0
59,2,female,5.0,4.0,2.0,1,2,27.75,,S,"Bournemouth, Dorset, England",Southampton,"Gainesville, Florida, US",10,598.0,1.0
60,3,male,11.0,13.0,3.0,5,2,46.9,,S,"Fulham, England",Southampton,"Niagara Falls, New York, US",,835.0,0.0
61,3,male,22.0,22.0,3.0,0,0,7.2292,,C,"Kiğı, Turkey",Cherbourg,"Brantford, Ontario, Canada",,1209.0,0.0
62,1,female,38.0,38.0,1.0,0,0,80.0,B28,,"New York, New York, US",Southampton,"New York, New York, US",6,284.0,1.0
